duration,director_fb_likes,movie_fb_likes,cast_total_fb_likes,num_voted_users,num_user_for_reviews,budget,imdb_score
127.0,503.0,0,6171,127497,287.0,140000000.0,6.6
138.0,0.0,0,1814,212106,1445.0,137000000.0,5.7
122.0,209.0,42000,31958,146352,288.0,130000000.0,5.8
124.0,42.0,0,13073,77673,463.0,130000000.0,6.0
106.0,6.0,0,15015,72259,788.0,137000000.0,6.4
124.0,394.0,46000,19761,508818,679.0,140000000.0,6.9
128.0,150.0,2000,2037,157519,683.0,135000000.0,6.4
138.0,608.0,0,1205,168207,684.0,150000000.0,7.4
115.0,386.0,65000,59177,185394,329.0,120000000.0,5.5
100.0,750.0,0,62644,32399,79.0,135000000.0,5.9
135.0,255.0,0,5811,326286,643.0,150000000.0,6.8
117.0,14000.0,27000,1950,12572,106.0,140000000.0,6.8
156.0,0.0,190000,57108,406020,1188.0,135000000.0,8.1
96.0,13.0,13000,17416,62424,90.0,135000000.0,6.5
107.0,563.0,26000,43291,183208,337.0,135000000.0,7.2
92.0,35.0,11000,19963,60230,118.0,132000000.0,6.7
115.0,521.0,0,17369,491077,820.0,110000000.0,8.1
92.0,54.0,6000,12754,307029,360.0,130000000.0,7.6
117.0,235.0,61000,5730,313866,549.0,130000000.0,7.4
146.0,508.0,82000,49355,498397,706.0,130000000.0,7.6
94.0,12.0,26000,17883,70121,214.0,135000000.0,6.7
116.0,14000.0,0,12758,334345,2741.0,132000000.0,6.5
147.0,0.0,0,12954,178126,511.0,130000000.0,6.6
90.0,50.0,16000,5046,114287,137.0,130000000.0,6.7
101.0,176.0,23000,12406,245621,514.0,110000000.0,6.4
138.0,0.0,71000,32355,200022,1240.0,125000000.0,5.8
107.0,14000.0,44000,4631,177383,447.0,135000000.0,7.4
142.0,0.0,11000,33284,382255,1504.0,130000000.0,7.8
165.0,1000.0,0,921,102338,450.0,130000000.0,6.6
