duration,director_fb_likes,movie_fb_likes,cast_total_fb_likes,num_voted_users,num_user_for_reviews,budget,imdb_score
154.0,776.0,16000.0,16785.0,430055,856.0,75000000.0,6.9
99.0,88.0,11000.0,12952.0,266103,456.0,75000000.0,6.8
125.0,212.0,893.0,1970.0,28635,308.0,50000000.0,5.1
110.0,16.0,509.0,5320.0,36491,231.0,75000000.0,4.1
125.0,255.0,105000.0,13312.0,447979,629.0,75000000.0,7.3
102.0,221.0,12000.0,28497.0,181443,311.0,80000000.0,6.0
128.0,14000.0,16000.0,16199.0,303864,596.0,60000000.0,7.3
100.0,87.0,1000.0,5174.0,16271,57.0,35000000.0,5.4
110.0,763.0,30000.0,16691.0,138190,405.0,75000000.0,6.1
116.0,41.0,648.0,14028.0,31293,254.0,75000000.0,5.3
93.0,253.0,683.0,5580.0,14280,171.0,75000000.0,4.7
113.0,212.0,1000.0,4397.0,45815,222.0,45000000.0,6.1
91.0,22.0,70000.0,13616.0,142403,275.0,74000000.0,6.4
97.0,6.0,14000.0,24350.0,27130,126.0,73000000.0,6.3
87.0,41.0,266.0,3287.0,33884,79.0,72000000.0,4.6
116.0,212.0,886.0,14780.0,34435,346.0,72000000.0,4.5
109.0,218.0,2000.0,55.0,11798,124.0,59660000.0,7.1
85.0,84.0,694.0,4166.0,74343,98.0,71500000.0,5.3
132.0,357.0,10000.0,14790.0,142569,737.0,70000000.0,5.8
92.0,5.0,16000.0,5217.0,34359,133.0,74000000.0,6.0
139.0,2000.0,1000.0,3667.0,98989,158.0,80000000.0,6.6
153.0,16000.0,42000.0,36741.0,885175,1527.0,75000000.0,8.3
142.0,14000.0,13000.0,64259.0,182802,363.0,70000000.0,6.7
88.0,84.0,2000.0,5227.0,31649,98.0,75000000.0,4.5
124.0,130.0,5000.0,6181.0,103241,742.0,75000000.0,7.1
119.0,845.0,45000.0,31782.0,203154,698.0,70000000.0,6.5
103.0,906.0,1000.0,6207.0,56741,515.0,58000000.0,6.4
116.0,473.0,25000.0,4001.0,154955,800.0,70000000.0,5.8
125.0,13000.0,26000.0,16138.0,350698,816.0,70000000.0,8.0
146.0,14000.0,28000.0,46726.0,116159,488.0,66000000.0,7.2
92.0,28.0,37000.0,5178.0,138582,423.0,70000000.0,6.3
127.0,905.0,15000.0,16034.0,212085,492.0,70000000.0,7.7
116.0,541.0,792.0,12993.0,39659,189.0,70000000.0,5.6
97.0,84.0,531.0,1576.0,41663,141.0,70000000.0,5.4
88.0,24.0,24000.0,5861.0,117096,271.0,70000000.0,6.4
136.0,163.0,33000.0,712.0,61995,356.0,75000000.0,5.9
125.0,40.0,997.0,15916.0,43651,196.0,60000000.0,6.3
116.0,5.0,17000.0,49608.0,105556,157.0,35000000.0,6.5
98.0,323.0,584.0,2763.0,22264,289.0,70000000.0,3.0
91.0,8.0,391.0,1846.0,16761,277.0,70000000.0,3.6
97.0,13.0,815.0,13628.0,26893,126.0,70000000.0,5.8
95.0,101.0,2000.0,3734.0,25572,123.0,70000000.0,6.2
88.0,6.0,5000.0,6946.0,5116,54.0,70000000.0,5.6
116.0,105.0,764.0,1899.0,31124,313.0,70000000.0,4.2
115.0,101.0,34000.0,15708.0,177653,279.0,50000000.0,6.7
99.0,212.0,12000.0,1520.0,44891,202.0,70000000.0,4.2
124.0,171.0,29000.0,52547.0,184637,498.0,68000000.0,4.9
87.0,275.0,31000.0,11608.0,385943,296.0,69000000.0,7.7
